Kørt på commit-sha 1809ae0ea7145e415bbe755d826178c16f91da48.

Parametre:layers: (256, 16, 4)
layer_amount: 2
layer_sizes: (256, 16)
dropout: 0.6
lr: 0.001
startbatch: 0
optimizer_info: Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
rewarder: ScoreChange: gamma = 0.95
nbatches: 500
batchsize: 50
determinism: [False, False]
hot_one: True

Gennemsnitsscore	Maxtile
1129	113
1007	97
1112	103
1104	108
1184	119
1044	104
1227	124
1021	99
1151	105
1082	109
978	99
1102	108
1099	105
1078	106
1140	113
1236	118
1028	99
1053	104
1107	103
1151	114
1067	111
1157	112
1154	116
1112	112
1084	104
1121	109
1096	109
1177	117
1121	108
1090	104
1158	113
967	94
1141	111
1032	102
1103	106
1050	101
1028	99
1210	118
1151	109
1045	102
1006	99
1010	98
1086	104
974	94
1107	107
1151	108
1120	103
1149	117
1170	111
1024	99
1060	98
1110	108
1088	106
1189	116
1276	125
980	97
1192	110
1116	110
1145	109
1130	111
1040	99
1183	116
1202	119
1203	114
1277	124
1146	113
1222	116
1118	104
1260	119
1196	115
1284	125
1288	126
1142	107
1164	112
1279	115
1368	125
1251	113
1206	115
1228	116
1268	115
1262	117
1374	124
1452	132
1293	117
1275	110
1446	133
1469	128
1561	131
1616	144
1389	124
1651	140
1411	124
1660	144
1607	147
1561	135
1632	136
1769	156
1720	145
1691	152
1611	143
1791	152
1919	165
1802	158
1686	144
1948	164
1652	140
1526	130
2138	178
1951	166
1873	163
1942	156
2063	177
1959	167
1987	172
1704	139
1961	164
2042	181
2065	163
2109	179
2036	170
1789	153
1968	165
1934	162
1651	133
1815	152
2182	173
1728	148
2184	172
2196	192
2181	181
1943	163
2066	177
1897	158
2150	177
2012	169
2030	173
1972	168
2160	191
2216	194
2212	188
2019	175
1889	163
2016	172
2036	163
2200	186
1812	156
2268	185
1864	144
1975	161
1958	171
1986	170
2187	186
2199	190
1857	149
2065	174
1917	165
1784	149
2034	179
2145	176
1930	161
1930	158
2159	168
1972	166
2148	174
2037	170
2012	166
1794	147
2193	186
2178	185
1984	164
2132	179
2083	158
1919	168
2101	176
1895	166
1966	162
1861	154
1962	160
2179	181
2048	180
2326	200
2137	174
1860	154
2180	183
1995	173
1902	165
2041	172
1956	158
2154	197
2137	183
2136	179
1869	159
2101	174
2059	168
2121	175
2076	174
2172	192
2252	188
2293	200
2119	190
1873	158
2240	190
1972	168
1857	151
1918	166
1624	131
1965	164
2142	193
2111	171
2167	184
2197	183
2061	175
2228	181
1859	157
2240	182
2069	172
2185	183
2083	174
2112	172
1922	165
2120	179
2196	197
2080	175
1860	159
2080	183
2164	188
2048	164
2366	188
2028	167
2399	194
2032	172
2341	193
2192	175
2277	188
2174	179
2175	194
2213	190
1909	166
2255	198
2077	177
2262	196
1933	164
2052	167
2280	195
2042	179
1943	163
2004	165
2303	192
2038	165
2040	164
2099	176
2060	174
1972	167
2337	200
1905	162
2078	172
2265	192
1885	151
1993	167
2439	211
2022	161
2015	165
2193	175
2107	174
2368	204
1848	148
2417	204
2303	193
1891	168
1839	158
2240	190
2273	191
1894	161
2067	167
2044	175
1985	154
2099	170
2483	223
2244	192
1830	150
1791	154
1817	152
1936	160
2067	181
1747	151
2270	186
2087	179
1909	165
2035	159
2060	174
2286	189
2257	186
2193	190
1789	154
2267	202
2275	180
1974	169
2161	178
2315	204
2162	195
2063	175
1963	163
2459	209
2186	177
2267	197
1873	157
2175	182
2096	177
2151	190
2017	177
2129	176
2237	183
1977	161
2294	186
2044	162
2028	181
2177	188
1836	160
1807	159
2126	177
2106	162
2227	190
2081	171
2009	168
2183	182
2180	183
1982	167
1930	156
2137	172
1785	151
2062	176
2007	168
2035	174
2020	175
1946	165
2150	176
1843	156
2082	176
1919	156
2368	195
2025	161
2332	192
1902	161
2109	179
1783	152
1993	168
1948	165
2225	186
1891	154
2018	167
1963	165
2009	159
2085	166
1707	144
1701	143
1779	151
1866	154
2014	168
2264	188
2164	187
2189	183
2097	185
2347	202
2174	178
1929	163
1985	169
2006	177
2111	174
2080	174
1985	167
2261	197
2063	176
1961	166
2120	175
2131	188
1901	158
2147	174
2036	180
2143	180
1962	168
2069	178
2032	166
1999	170
1987	168
2197	176
1972	168
1806	149
2123	186
1751	149
2057	163
2097	179
2123	177
1919	166
2008	170
2021	159
2056	171
2133	174
1903	158
1934	156
1987	172
1896	162
1931	160
1922	160
2125	168
1940	163
1845	152
2163	181
2202	184
2550	208
2401	209
2168	176
1807	151
2068	171
2111	179
1913	158
1937	170
2151	185
2020	166
1835	156
1664	144
2057	181
2382	213
2285	197
2082	175
1857	158
2272	184
2057	177
2131	175
2054	174
2159	179
2225	188
2214	195
2180	179
2521	210
1973	168
2256	190
2020	176
2094	178
2227	195
2013	174
2156	170
2188	189
2263	184
1932	159
1945	163
1866	158
1993	161
1724	142
1944	156
1991	171
1907	163
2137	177
1773	142
1848	150
2177	189
2005	165
2124	174
2157	182
1846	160
2099	180
1890	163
1859	153
1982	161
2254	198
1975	167
1922	163
1930	158
2006	166
2058	165
2087	179
1745	145
2149	184
2068	174
2074	174
2198	186
2420	209
2129	180
2093	181
2104	183
2124	172
2435	207
1911	156
2345	202
1996	167
2102	181
2058	176
2130	179
2083	171
2141	183
1811	158
2084	177
2428	209
2192	179
1893	156
2027	170
2161	188
2179	185
2363	203
2115	180
2255	181
