Kørt på commit-sha 1809ae0ea7145e415bbe755d826178c16f91da48.

Parametre:layers: (256, 16, 4)
layer_amount: 2
layer_sizes: (256, 16)
dropout: 0.6
lr: 0.001
startbatch: 0
optimizer_info: Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
rewarder: BoardVariance: corner = all, gamma = 0.95
nbatches: 500
batchsize: 50
determinism: [False, False]
hot_one: True

Gennemsnitsscore	Maxtile
1090	110
1050	108
1159	105
963	95
1067	102
1000	98
1239	124
1140	109
1125	113
1184	113
1098	108
1133	110
1249	115
1113	103
1369	126
1252	122
1287	117
1267	117
1378	124
1302	120
1174	107
1573	149
1300	115
1412	125
1441	120
1462	130
1646	149
1563	134
1584	135
1735	158
1493	136
1480	129
1565	134
1878	167
1644	142
1714	154
1802	160
1573	138
1915	172
1675	145
1872	160
1775	153
1789	158
1916	162
1888	168
1756	149
1846	150
1951	166
1495	128
1994	176
1898	160
1835	160
1886	164
1781	149
1737	145
1795	144
2024	186
1779	152
1793	157
1598	137
1919	167
1926	170
1969	174
1845	164
1845	152
2022	172
2018	184
1997	165
1657	144
1964	166
1621	139
1762	148
1824	152
1764	143
1911	163
2017	168
1847	158
1800	149
1818	151
1694	144
1763	152
1720	145
1790	157
1897	156
1773	152
1784	151
1574	128
1659	140
1832	170
1710	143
1787	157
1621	135
1495	127
1615	144
1688	145
1631	140
1681	142
1724	145
1670	145
1840	159
1548	134
1861	154
1569	126
1645	141
1662	138
1618	133
1776	154
1718	149
1642	131
1657	139
1479	124
1477	126
1837	158
1585	138
1530	123
1547	136
1754	148
1663	143
1763	155
1671	140
1432	122
1647	142
1548	137
1760	147
1732	149
1597	131
1641	144
1751	145
1742	145
1455	122
1713	147
1569	134
1761	158
1807	149
1615	140
1815	157
1619	138
1882	154
1586	128
1619	137
1587	127
1560	129
1606	138
2022	156
1708	141
1490	126
1975	162
1562	136
1852	154
1781	144
1756	143
1704	145
1838	144
1735	143
1810	158
1626	132
1559	128
1434	122
1655	139
1841	156
1578	131
1834	152
1628	136
1731	145
1777	149
1732	145
1675	145
1549	136
1856	156
1603	136
1669	134
1765	152
1707	140
1838	145
1897	158
1889	151
1831	149
1678	137
1724	144
1735	140
1818	147
1626	134
1693	140
1501	133
1517	127
1656	136
1710	144
1896	153
1770	147
1660	143
1813	140
1815	149
1603	136
1724	146
1423	111
1614	128
1852	148
1888	154
1834	149
1683	138
1487	124
1714	152
1933	165
1833	148
1739	151
1601	135
1898	164
1854	152
1706	138
1885	156
1812	152
1647	142
1760	147
1695	142
1880	159
1913	160
1773	150
1667	137
1644	139
1680	150
1740	142
1583	129
1784	152
1646	138
1499	118
2044	174
1690	138
1746	146
1700	145
1630	128
1626	140
1588	133
1775	153
1781	153
1790	150
1797	149
1842	153
1778	157
1922	162
1761	147
1814	144
1861	151
1900	160
1680	136
1932	166
1698	143
1678	135
1767	147
1854	146
1840	154
1757	148
1795	154
1716	144
1901	160
1873	154
1771	147
1597	140
1663	133
1716	140
1579	140
1746	143
1828	149
1776	149
1725	154
1842	156
1806	149
1823	143
1511	121
1789	151
1747	142
1744	140
1712	148
1965	161
1848	156
1884	154
1757	138
1640	133
1869	160
1689	138
1893	165
1658	135
1707	139
1806	150
1815	153
1764	147
1674	144
1712	145
1815	152
1669	140
1657	136
1734	149
1705	135
1730	151
1500	126
1791	147
1843	160
1888	155
1915	165
1828	152
1794	148
1516	131
1856	154
1598	140
1740	147
1670	140
1649	135
1626	139
1801	158
1649	135
1577	134
1668	133
1568	125
1720	147
1860	151
1800	152
1602	135
1935	165
1724	145
1770	156
1783	153
1811	143
1663	141
1988	165
1686	137
1716	145
1757	151
1830	146
1700	138
1780	140
1678	144
1795	148
1836	150
1848	158
2063	168
1769	149
1682	144
1770	140
1778	144
1654	133
1818	151
1931	163
1715	147
1947	156
1757	147
1874	147
1610	133
1709	151
1754	149
1679	143
1727	146
1402	120
1650	137
1860	161
1737	144
1835	148
1844	158
1454	120
1621	130
1798	147
1762	154
1774	148
1795	142
1681	133
1741	140
1655	142
1812	152
1790	152
1654	141
1627	138
1747	146
1834	149
1744	149
1690	145
1625	129
1758	136
1689	138
1611	128
1734	138
1711	142
1759	148
1769	145
1762	150
1748	151
1740	151
1940	169
1727	144
1859	156
1686	144
1800	151
1746	152
1838	152
1743	144
1842	149
1572	140
1410	121
1735	146
1582	143
1668	130
1913	160
1691	134
1602	136
1887	152
1829	154
1746	140
1565	136
1627	136
1672	133
1649	136
1687	146
1756	150
1599	146
1606	136
1505	118
1683	151
1536	126
1783	152
1784	156
1975	165
1835	151
1794	153
1756	151
1781	150
1589	140
1640	135
1758	147
1613	133
1669	144
1669	136
1755	151
1694	150
1560	135
1630	135
1932	168
1746	148
1619	127
1845	151
1766	144
1586	129
1855	152
1729	148
1753	149
1720	146
1576	129
1631	132
1824	151
1819	145
1847	149
1610	140
1597	138
1625	134
1646	138
1544	128
1788	147
1629	135
1892	161
1789	145
1824	152
1544	136
1704	145
1670	144
1806	149
1832	159
1797	149
1711	138
1455	121
1747	151
1642	137
1625	127
1727	142
1765	152
1862	144
1703	141
1612	136
1707	149
1673	139
1654	144
1867	154
1824	152
1777	156
1818	147
1758	146
1565	126
1744	150
1568	133
1675	137
1593	122
1774	160
1834	159
1746	149
1683	149
1570	127
1722	146
1499	123
1646	139
1805	160
1735	145
1732	145
1690	145
1685	135
1852	154
