Kørt på commit-sha 1809ae0ea7145e415bbe755d826178c16f91da48.

Parametre:layers: (256, 16, 4)
layer_amount: 2
layer_sizes: (256, 16)
dropout: 0.6
lr: 0.001
startbatch: 0
optimizer_info: Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
rewarder: HeuristicsReward: factor = 1,  weights = [3, 1, 1, 3], gamma = 0.95
nbatches: 500
batchsize: 50
determinism: [False, False]
hot_one: True

Gennemsnitsscore	Maxtile
1100	115
1168	110
1024	101
1132	109
1138	114
1068	105
1032	99
1030	100
1186	117
1084	108
1193	117
1074	111
1066	105
1061	98
1109	110
1078	107
1176	115
1136	111
1103	108
1207	116
1084	107
943	88
1040	101
1119	113
1034	103
1105	103
1201	118
1182	110
1070	103
1324	129
1112	101
1106	105
1175	110
1242	117
1254	110
1213	115
1254	113
1397	120
1333	117
1285	117
1283	116
1361	124
1492	131
1550	136
1596	138
1552	140
1483	135
1611	142
1506	129
1686	145
1788	160
1790	152
1572	133
1649	137
1625	135
1642	135
1754	148
1593	136
1626	142
1758	150
1863	156
1600	133
1663	141
1701	147
1495	127
1578	136
1682	148
1447	134
1736	156
1474	127
1493	135
1629	147
1721	152
1588	147
1469	133
1583	142
1566	142
1691	151
1363	122
1481	138
1602	146
1570	141
1590	140
1448	130
1575	147
1350	114
1468	131
1459	140
1430	136
1447	129
1314	113
1423	128
1548	141
1383	127
1385	126
1489	138
1414	129
1486	136
1498	135
1300	122
1426	123
1536	136
1571	141
1409	134
1353	121
1457	128
1390	125
1502	131
1640	151
1282	112
1400	126
1431	126
1413	133
1448	130
1646	153
1409	128
1528	140
1376	125
1522	136
1600	147
1393	129
1576	143
1692	156
1678	147
1381	131
1492	132
1643	154
1481	133
1356	117
1479	135
1608	142
1366	125
1431	129
1456	138
1447	129
1586	145
1549	134
1475	133
1364	134
1448	132
1484	140
1500	132
1480	135
1470	133
1438	125
1398	128
1466	129
1506	145
1559	147
1710	150
1510	143
1694	151
1570	149
1604	139
1628	140
1487	136
1593	138
1368	121
1548	138
1540	136
1600	145
1435	126
1578	135
1549	144
1473	132
1759	159
1783	154
1631	147
1577	142
1681	149
1607	145
1259	117
1313	117
1664	145
1403	119
1601	143
1566	142
1758	152
1578	137
1573	139
1536	139
1536	133
1548	141
1616	140
1659	151
1471	134
1445	122
1575	134
1433	135
1598	140
1597	144
1568	147
1500	131
1609	147
1496	137
1614	143
1494	127
1563	141
1502	135
1613	147
1488	128
1571	142
1722	147
1492	139
1530	132
1346	124
1569	144
1588	143
1519	140
1521	141
1615	145
1520	128
1689	147
1498	128
1560	143
1624	140
1559	137
1439	131
1544	136
1820	167
1544	140
1439	128
1456	133
1641	145
1765	155
1609	147
1740	157
1986	181
1507	140
1585	156
1553	141
1657	148
1370	127
1738	151
1421	124
1639	144
1527	136
1570	145
1540	135
1556	144
1601	133
1435	130
1439	133
1489	133
1535	142
1515	141
1606	142
1566	131
1553	137
1718	152
1512	130
1458	129
1646	156
1654	151
1406	129
1519	135
1411	128
1843	164
1500	133
1669	147
1437	133
1502	138
1710	157
1509	136
1585	138
1535	139
1372	117
1503	140
1457	132
1663	151
1469	133
1468	134
1738	163
1613	147
1612	142
1410	124
1430	124
1451	127
1741	158
1492	131
1468	133
1587	139
1302	118
1639	144
1790	170
1454	129
1393	123
1722	160
1603	143
1609	151
1412	129
1642	151
1531	136
1561	140
1582	142
1686	151
1588	142
1758	161
1564	147
1705	152
1794	170
1442	127
1411	130
1512	137
1566	142
1596	141
1587	138
1619	145
1565	142
1662	156
1669	151
1625	151
1485	134
1632	149
1610	150
1600	143
1561	145
1630	143
1676	158
1603	149
1570	141
1602	142
1628	154
1633	149
1632	148
1740	156
1558	133
1554	139
1532	138
1556	145
1659	151
1389	124
1713	158
1596	149
1595	145
1896	168
1616	143
1293	115
1762	167
1595	141
1723	155
1634	146
1410	130
1456	127
1536	135
1532	139
1761	155
1733	153
1617	145
1854	174
1609	151
1597	142
1464	121
1507	138
1470	141
1460	130
1479	138
1453	133
1473	128
1655	148
1576	144
1376	125
1292	113
1717	156
1713	152
1614	140
1492	136
1388	127
1553	137
1538	138
1616	150
1346	120
1379	125
1426	127
1501	143
1849	172
1406	125
1869	163
1519	133
1489	133
1477	133
1491	133
1578	146
1394	128
1489	132
1771	163
1689	154
1421	128
1497	135
1448	124
1412	131
1623	148
1731	154
1682	151
1581	143
1462	136
1615	142
1612	145
1468	135
1405	120
1560	144
1496	142
1555	143
1522	132
1369	128
1447	131
1487	132
1526	144
1463	125
1478	132
1414	129
1506	135
1482	134
1408	121
1319	119
1628	142
1487	140
1513	139
1585	140
1632	146
1546	141
1703	154
1461	137
1520	133
1585	140
1568	144
1823	160
1432	129
1452	126
1606	150
1694	158
1351	124
1555	140
1567	138
1678	149
1436	127
1457	126
1696	150
1483	135
1405	122
1627	157
1698	152
1287	122
1553	139
1428	132
1558	138
1436	129
1371	122
1462	134
1525	137
1293	123
1481	132
1655	149
1536	136
1512	137
1494	131
1259	119
1629	147
1687	149
1694	150
1542	139
1398	130
1817	168
1654	144
1441	128
1532	135
1643	143
1542	136
1448	133
1605	151
1415	135
1511	138
1526	138
1710	164
1612	146
1534	145
1659	143
1481	128
1293	114
1301	123
1392	124
1408	122
1556	142
1474	138
1616	144
1547	141
1682	151
1579	145
1607	144
1427	132
1331	122
1536	147
1538	136
1458	127
1468	127
1376	128
1572	143
1461	136
1406	124
1627	147
