Kørt på commit-sha 1809ae0ea7145e415bbe755d826178c16f91da48.

Parametre:layers: (256, 16, 4)
layer_amount: 2
layer_sizes: (256, 16)
dropout: 0.6
lr: 0.001
startbatch: 0
optimizer_info: Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
rewarder: RewarderCombination, rewarders = ['ScoreChange: gamma = None', 'BoardVariance: corner = all, gamma = None', 'HeuristicsReward: factor = 1,  weights = [3, 1, 1, 3], gamma = None'], weights = (1, 1, 1), gamma = 0.95, product_weight False
nbatches: 500
batchsize: 50
determinism: [False, False]
hot_one: True

Gennemsnitsscore	Maxtile
1280	125
1031	100
947	88
1041	101
1139	113
1068	103
1189	114
972	94
1134	106
1058	99
1142	112
1010	94
1134	106
1196	118
1023	99
1168	115
1155	112
1053	101
1190	117
1066	106
1025	101
1034	104
1144	112
1070	103
1064	106
1134	113
924	90
1049	103
1070	103
1134	112
1125	107
1100	104
996	98
1065	97
1056	99
1055	101
1067	101
1227	120
995	99
1025	101
1135	112
1157	108
1013	100
1016	100
1071	104
1105	106
1111	104
1017	99
1109	107
1097	104
1183	113
1171	109
1099	101
1118	103
1132	110
1145	105
1209	117
1026	102
1054	106
1170	108
1226	117
1097	104
1108	107
1039	103
1180	112
1045	98
1307	130
1066	101
1304	124
1225	118
1302	116
1291	119
1204	108
1324	119
1330	118
1382	128
1274	118
1470	130
1401	128
1483	138
1521	135
1435	120
1469	129
1569	141
1415	129
1534	133
1589	137
1571	136
1320	116
1682	139
1680	150
1656	149
1347	117
1576	135
1650	144
1778	152
1641	140
1783	157
1702	141
1511	133
1447	126
1491	128
1987	173
1737	148
1756	149
1485	133
1787	144
1724	145
1841	152
1744	147
1815	152
1826	151
1748	142
1634	135
1765	147
1924	160
1763	148
1881	157
1935	159
1931	167
1918	167
1829	145
1742	152
2110	172
1911	156
1934	161
1854	151
1922	160
1928	168
1876	154
2089	170
1714	147
1833	160
2012	178
2011	168
1797	148
1866	160
2198	183
1738	139
2014	170
1854	154
1790	163
1954	165
1891	158
1740	145
1930	152
1874	161
2026	172
1997	161
2133	176
1859	161
2117	186
1701	140
1790	158
1885	156
1844	156
1955	171
2111	177
2167	190
2043	174
1972	167
2224	186
1988	172
2333	186
2009	170
2010	161
2164	192
2173	190
1889	156
2193	192
2170	189
