Kørt på commit-sha 1809ae0ea7145e415bbe755d826178c16f91da48.

Parametre:layers: (256, 16, 4)
layer_amount: 2
layer_sizes: (256, 16)
dropout: 0.6
lr: 0.001
startbatch: 0
optimizer_info: Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
rewarder: ScoreChange: gamma = 0.95
nbatches: 500
batchsize: 50
determinism: (True, True)
hot_one: True

Gennemsnitsscore	Maxtile
1348	127
1244	117
1272	123
1281	121
1265	119
1107	103
1227	112
1250	122
1413	128
1249	119
1320	128
1280	113
1175	104
1332	125
1424	136
1254	116
1441	136
1447	132
1326	120
1364	122
1326	117
1442	128
1395	126
1353	115
1373	122
1417	120
1470	132
1357	115
1477	122
1465	130
1580	140
1608	138
1617	145
1577	133
1395	118
1572	135
1452	126
1389	125
1596	137
1608	142
1610	134
1549	134
1617	135
1566	137
1607	135
1561	135
1770	142
1629	147
1685	147
1527	134
1433	120
1510	132
1641	142
1424	125
1499	125
1511	135
1490	128
1508	133
1699	150
1399	119
1582	130
1344	116
1381	121
1339	119
1659	140
1483	120
1298	110
1654	147
1564	142
1481	131
1500	130
1612	143
1512	131
1608	140
1530	136
1598	145
1442	126
1343	119
1637	133
1352	123
1529	131
1406	122
1477	140
1499	137
1449	124
1708	144
1443	127
1559	136
1384	121
1510	126
1504	130
1524	136
1415	127
1453	122
1530	138
1459	126
1463	130
1511	123
1311	113
1377	124
1389	117
1420	123
1409	128
1265	108
1579	135
1534	134
1304	110
1315	119
1581	141
1439	124
1568	143
1638	148
1533	138
1450	128
1526	136
1314	107
1335	116
1609	135
1411	122
1535	131
1444	122
1414	122
1577	144
1424	122
1509	138
1573	143
1563	142
1681	140
1380	121
1395	120
1542	139
1516	136
1387	122
1410	123
1522	136
1599	136
1227	112
1570	138
1397	129
1417	124
1367	122
1394	120
1336	120
1490	129
1434	124
1407	124
1502	131
1578	142
1375	119
1543	142
1401	122
1352	114
1377	122
1432	132
1427	129
1375	122
1532	135
1407	124
1373	119
1528	134
1520	135
1376	116
1262	109
1541	133
1491	133
1474	123
1382	123
1561	128
1366	124
1379	119
1297	118
1399	120
1328	121
1315	117
1336	119
1473	127
1449	128
1387	122
1339	116
1447	129
1338	117
1358	122
1435	129
1339	118
1317	119
1374	126
1344	119
1470	126
1306	111
1425	119
1455	129
1442	120
1416	129
1396	131
1465	128
1502	132
1339	123
1429	123
1542	135
1499	122
1290	121
1411	119
1346	126
1286	111
1402	125
1525	135
1314	116
1433	125
1483	136
1295	108
1426	126
1383	120
1301	118
1496	135
1463	131
1535	134
1396	124
1116	101
1581	136
1389	121
1530	135
1663	145
1352	118
1396	124
1386	124
1476	133
1379	124
1436	129
1409	124
1346	120
1278	115
1363	118
1384	117
1475	126
1439	127
1320	112
1537	141
1268	113
1407	125
1285	117
1516	126
1439	120
1478	127
1239	110
1414	117
1399	120
1473	135
1328	117
1590	135
1472	132
1307	111
1303	113
1573	144
1410	117
1410	120
1309	113
1341	112
1389	123
1516	126
1486	127
1502	122
1404	129
1311	115
1426	122
1304	111
1391	124
1398	127
1365	127
1364	117
1471	133
1351	117
1374	125
1462	127
1267	119
1289	114
1371	124
1348	119
1433	122
1449	129
1512	126
1388	119
1330	118
1311	122
1301	108
1188	99
1205	106
1319	119
1492	129
1371	125
1472	132
1228	112
1290	112
1444	132
1444	117
1419	127
1368	116
1562	136
1321	124
1298	120
1205	109
1376	122
1245	110
1286	112
1182	105
1277	113
1329	120
1394	122
1557	131
1443	121
1267	111
1277	115
1410	123
1393	128
1466	129
1274	115
1421	126
1389	124
1252	106
1576	140
1459	128
1512	131
1486	128
1431	124
1328	113
1370	128
1444	129
1347	115
1378	117
1221	108
1356	119
1220	106
1361	123
1442	131
1345	117
1396	126
1371	124
1393	126
1306	117
1304	119
1441	125
1555	133
1287	117
1337	113
1395	131
1458	130
1411	131
1273	115
1326	115
1308	123
1371	113
1300	114
1459	138
1364	122
1332	119
1334	124
1359	113
1415	121
1240	108
1284	110
1451	126
1329	115
1291	112
1386	125
1381	123
1391	115
1306	113
1523	129
1355	118
1308	115
1316	117
1356	120
1482	129
1435	126
1412	131
1409	126
1437	129
1330	112
1382	120
1375	119
1394	126
1462	128
1396	122
1278	116
1437	122
1278	116
1307	115
1438	117
1374	122
1342	117
1252	111
1308	117
1365	119
1328	114
1332	117
1395	119
1203	106
1398	122
1258	112
1428	133
1333	120
1465	129
1362	120
1171	106
1297	110
1645	147
1328	118
1300	111
1298	120
1503	126
1304	115
1295	117
1340	123
1362	119
1270	118
1302	119
1443	130
1368	126
1572	145
1436	124
1564	149
1301	118
1435	127
1319	121
1234	108
1331	117
1411	129
1425	128
1438	129
1208	108
1279	112
1278	120
1518	142
1280	113
1471	131
1420	128
1422	133
1161	110
1339	122
1559	140
1324	120
1385	126
1404	124
1259	113
1098	96
1323	114
1346	118
1264	108
1440	128
1333	117
1408	123
1341	122
1308	115
1287	120
1482	134
1398	120
1417	127
1287	108
1260	111
1328	124
1424	125
1366	121
1389	120
1500	131
1291	115
1291	113
1406	129
1230	108
1382	122
1234	108
1334	119
1315	119
1335	110
1408	125
1496	130
1296	117
1381	123
1554	135
1419	120
1306	117
1342	121
1171	103
1269	110
1204	105
1340	115
1466	133
1398	125
1296	115
1404	119
1520	143
1413	121
1252	109
1424	129
1193	107
1303	113
1263	109
1453	130
1267	117
1352	119
1346	117
1386	128
