Kørt på commit-sha 1064154eb03aea158c1a590248251182e50f5dd6.

Parametre:layers: (256, 100, 50, 4)
layer_amount: 3
layer_sizes: (256, 100, 50)
dropout: 0.6
lr: 0.001
startbatch: 0
optimizer_info: Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
rewarder: ScoreChange: gamma = 0.95
nbatches: 500
batchsize: 50
determinism: [False, False]
hot_one: True

Gennemsnitsscore	Maxtile
1198	115
1162	118
1025	96
1173	115
1003	97
1209	120
1098	113
1192	112
950	94
1162	113
1032	103
1164	111
1043	101
1145	109
1112	109
1140	110
1105	107
1057	104
1159	121
1163	113
988	96
934	88
1134	108
1313	126
1103	110
1114	107
996	95
1218	123
1126	111
1066	106
1269	127
1094	108
1088	103
1075	106
1143	113
1083	106
1107	113
1261	126
1012	95
1108	107
953	92
1099	107
1251	122
1015	104
1187	118
1241	122
1137	111
1168	114
1182	115
1017	101
1156	114
1129	109
1146	110
933	94
1098	106
980	95
1127	110
1141	115
1168	114
1072	103
1148	110
1086	104
1149	115
1072	104
1114	111
1054	100
1065	103
1134	110
1030	101
1146	110
1082	108
1121	109
1121	111
1077	107
1162	108
1122	106
1033	104
1080	108
1164	118
1155	108
1167	120
1041	106
1139	112
1011	96
1097	106
1034	99
1208	123
1060	107
1070	103
1249	117
1036	96
1026	98
1090	103
1052	99
1200	120
1168	113
1151	108
1177	112
1024	102
1132	109
1060	105
974	94
1045	104
1014	96
1137	110
1129	105
1022	101
996	97
1066	105
1213	120
1182	115
1224	124
1121	106
1225	122
1065	103
1027	96
1089	103
1219	120
1180	119
1113	110
1108	107
1210	114
1102	99
1178	109
1024	100
1236	113
1167	109
1114	101
1178	108
1262	119
1197	111
1137	108
1277	124
1320	122
1279	121
1136	104
1412	133
1323	120
1411	132
1326	129
1224	112
1316	123
1482	136
1652	151
1442	128
1596	142
1375	120
1286	118
1817	157
1466	129
1823	157
1948	165
1901	166
1889	164
2301	192
2009	170
2153	184
2128	170
1992	164
1778	143
2276	184
1999	160
2138	175
2365	189
2064	181
2316	184
2331	185
2001	161
2327	196
2353	200
2276	189
2265	195
2333	188
2312	193
2154	176
2432	199
2338	192
2171	183
2316	190
2251	182
2240	181
2134	177
2042	163
2094	175
2014	160
2054	168
1910	151
2096	169
2805	222
2124	171
2519	221
2310	200
2261	181
2224	181
2111	172
2359	190
2096	177
2307	197
1995	170
2341	202
2119	174
2366	188
2286	192
2420	199
2185	165
2052	174
2512	204
2188	174
2209	172
2135	179
2276	185
2316	192
2107	179
2198	192
2047	168
2313	197
2129	181
2301	190
2177	176
2188	183
2362	191
2264	183
2280	194
2261	192
2140	176
2430	188
2242	192
2054	171
2505	211
2125	183
1896	162
2645	220
2179	188
1944	165
2395	208
2096	180
2126	176
2388	200
2464	200
2243	183
2180	184
1908	162
2169	181
2393	200
2311	194
2212	192
2319	197
2557	206
2136	171
2316	184
2237	178
2400	200
2072	166
1996	162
2487	204
2186	176
2234	181
2069	175
2340	211
2210	186
2214	189
2083	171
2150	177
2449	204
2174	173
2033	163
2478	200
2536	205
2346	198
2017	174
2430	207
2308	190
1938	157
2034	175
2005	170
2011	163
2587	200
2077	181
2066	166
2295	190
2054	168
2472	215
2275	186
2257	181
2230	197
2322	204
2091	174
2233	190
2100	177
2112	179
2142	184
1744	143
2223	194
2129	179
1940	161
2296	184
2395	213
2315	192
2106	183
2263	191
2174	185
2097	167
2073	176
1846	156
2248	187
2405	198
2094	185
2164	177
2060	163
2213	188
2056	174
2025	174
2322	192
1969	161
2041	170
2186	186
1997	165
2512	210
2321	189
2212	193
2187	189
2252	190
1966	171
1971	157
2011	175
1913	162
2011	162
2050	167
2227	185
2101	172
2179	186
2200	184
2267	185
2084	170
2070	186
2081	185
2275	184
2170	182
2088	170
2339	195
2225	186
2211	185
2376	189
2075	163
2235	189
2240	176
2011	170
2223	183
1888	160
2000	169
2169	182
2047	170
2351	198
2125	183
2076	177
2177	181
1879	149
1979	162
2401	194
2141	181
2244	191
2107	168
2303	194
2093	178
2094	174
2192	183
2171	189
1882	160
2220	184
2263	185
1844	154
2458	196
1991	168
2113	168
2101	172
2241	190
2206	184
2216	186
2174	180
2194	177
2235	177
2096	173
2284	185
1990	169
2077	175
1939	163
2189	182
2061	171
2240	195
2027	171
2061	174
1981	162
1979	166
2225	188
2148	179
2063	174
2038	176
2245	180
2108	182
2345	200
2120	177
2020	179
2056	174
1675	146
1948	163
2493	204
2167	166
2064	182
2167	179
2061	180
2299	195
2071	174
2084	188
2089	175
1901	156
2013	172
1873	148
2195	177
2261	188
2087	183
2103	176
2123	188
2033	159
1857	157
2106	185
2354	197
1949	164
1829	152
2119	176
1952	171
2072	170
2059	171
2165	168
2227	186
2002	168
2083	169
2271	197
1986	155
1920	160
2014	170
2103	175
1962	165
1991	172
2306	183
2226	186
2044	175
2369	192
2073	185
1944	165
2178	188
2099	177
1829	155
2092	167
1999	170
2029	170
2245	188
2253	190
2008	164
2139	193
2104	181
2033	174
1980	168
2022	177
2017	170
2068	182
2208	194
2078	170
1984	166
1984	163
2310	188
2100	170
2024	164
1913	165
2077	175
2163	186
2122	179
2099	172
1669	136
2111	180
1849	163
2044	163
2007	177
1818	158
1831	149
2127	182
1984	167
1988	174
2180	175
1980	160
1932	163
1924	163
1944	162
2184	176
2326	190
2073	175
2129	181
2082	178
1837	157
2144	177
2161	184
