Kørt på commit-sha 1064154eb03aea158c1a590248251182e50f5dd6.

Parametre:layers: (256, 100, 50, 4)
layer_amount: 3
layer_sizes: (256, 100, 50)
dropout: 0.6
lr: 0.001
startbatch: 0
optimizer_info: Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
rewarder: BoardVariance: corner = all, gamma = 0.95
nbatches: 500
batchsize: 50
determinism: [False, False]
hot_one: True

Gennemsnitsscore	Maxtile
1024	104
1081	104
1204	115
1206	115
1065	99
1016	98
1186	118
1041	103
1175	108
1089	106
1140	111
1317	129
1161	110
1244	118
1093	99
1364	125
1257	113
1373	122
1163	108
1527	140
1550	130
1605	142
1748	161
1711	149
1729	148
1705	145
1657	144
1885	168
1971	160
2141	183
2138	183
2306	193
1921	161
2030	166
2035	167
2079	186
1932	166
2151	180
2189	186
2427	203
1976	165
2103	167
2160	184
2305	192
1975	161
2139	179
1931	158
2024	177
1766	146
1831	154
2041	167
2065	181
1669	151
1937	170
1754	147
1703	149
1608	138
1622	136
1538	128
1625	145
1786	149
1446	128
1442	117
1629	144
1468	126
1478	131
1468	129
1397	117
1503	133
1431	115
1359	119
1591	139
1413	120
1538	141
1529	126
1613	138
1424	128
1597	135
1383	117
1631	142
1562	133
1519	128
1606	129
1697	138
1572	126
1428	120
1743	154
1577	121
1776	156
1496	132
1565	135
1635	144
1462	117
1589	129
1841	150
1438	121
1844	158
1597	137
1532	126
1798	151
1604	138
1473	129
1644	138
1806	156
1741	149
1550	129
1742	150
1629	142
1714	146
1612	146
1505	123
1456	117
1681	146
1770	154
1600	133
1554	134
1636	138
1535	133
1668	135
1567	136
1662	135
1698	149
1643	141
1490	126
1733	142
1826	148
1769	159
1526	136
1449	119
1672	140
1588	136
1489	131
1529	129
1618	146
1660	133
1680	144
1740	149
1719	149
1557	130
1727	149
1734	142
1455	129
1637	140
1715	149
1849	158
1483	130
1821	150
1555	133
1485	122
1654	138
1484	122
1617	135
1627	140
1518	129
1662	138
1623	132
1402	123
1471	128
1660	140
1696	153
1639	136
1755	152
1596	142
1411	123
1683	140
1631	135
1640	147
1619	137
1599	137
1495	129
1345	118
1339	121
1347	116
1629	146
1556	139
1552	143
1525	133
1531	136
1346	109
1490	126
1717	144
1603	135
1527	133
1687	145
1602	142
1554	133
1591	140
1644	145
1604	144
1680	143
1490	125
1523	128
1504	126
1539	138
1325	110
1477	136
1473	124
1593	138
1509	130
1626	144
1551	133
1576	135
1629	144
1554	138
1605	136
1668	138
1661	147
1566	133
1678	146
1517	132
1649	144
1487	128
1604	136
1660	148
1829	156
1397	126
1582	145
1605	140
1670	147
1560	125
1566	130
1714	143
1466	132
1528	128
1565	137
1654	142
1560	134
1674	144
1450	116
1699	142
1709	147
1655	142
1712	144
1582	137
1648	139
1603	142
1764	151
1483	123
1628	145
1377	122
1640	143
1518	132
1733	151
1551	128
1532	132
1691	142
1627	142
1778	148
1784	157
1539	135
1639	149
1328	114
1497	131
1725	151
1704	144
1908	162
1368	118
1596	129
1566	135
1416	122
1437	119
1569	133
1780	152
1404	122
1467	119
1724	145
1667	140
1402	120
1368	119
1696	149
1584	134
1668	149
1652	139
1686	147
1532	124
1755	154
1706	142
1539	133
1384	116
1586	130
1435	122
1442	117
1616	138
1530	135
1571	133
1699	151
1886	167
1782	158
1647	138
1601	136
1520	133
1609	142
1535	132
1467	128
1527	129
1366	124
1690	141
1703	149
1590	142
1618	135
1511	136
1574	136
1422	116
1439	121
1613	135
1529	129
1594	136
1612	143
1528	131
1558	135
1468	131
1490	132
1682	150
1694	140
1435	129
1603	136
1646	144
1536	142
1343	122
1499	122
1496	127
1502	131
1404	115
1420	119
1655	143
1593	134
1533	129
1418	124
1498	131
1426	124
1521	133
1636	136
1572	134
1522	131
1774	149
1472	129
1837	158
1781	148
1826	161
1781	159
1605	141
1659	151
1832	167
1398	122
1763	152
1418	120
1392	119
1443	130
1588	135
1301	114
1500	128
1697	147
1511	134
1626	148
1535	141
1556	136
1550	138
1332	119
1614	137
1663	144
1582	132
1555	128
1713	149
1554	132
1363	112
1520	128
1736	149
1547	129
1424	115
1467	128
1516	126
1662	140
1500	129
1727	144
1608	135
1497	126
1285	110
1380	123
1547	135
1609	141
1805	161
1450	130
1422	117
1571	140
1498	128
1625	143
1632	141
1513	129
1557	132
1597	144
1574	136
1410	123
1540	136
1538	129
1352	117
1440	126
1446	125
1577	138
1587	137
1492	132
1368	115
1547	129
1716	149
1787	160
1420	125
1636	144
1594	138
1548	134
1453	126
1782	158
1955	165
1675	150
1428	119
1383	124
1510	135
1425	130
1430	124
1524	131
1587	135
1423	121
1493	126
1532	137
1407	119
1534	130
1513	123
1854	159
1404	114
1288	115
1468	129
1649	140
1747	145
1725	147
1732	149
1445	120
1586	139
1489	130
1618	139
1765	147
1519	139
1469	128
1590	144
1710	149
1714	151
1511	135
1510	133
1633	135
1630	143
1505	125
1467	128
1642	148
1336	120
1598	139
1589	140
1578	142
1709	143
1429	123
1701	151
1567	131
1706	145
1647	149
1448	117
1657	140
1456	123
1619	144
1428	124
1686	145
1620	138
1677	147
1476	126
1415	125
1482	127
1640	144
1497	133
1745	149
1419	115
1607	139
1542	137
1498	126
1553	135
1838	162
1635	144
1547	139
1677	139
1482	125
1504	128
1688	147
1318	113
1519	133
1456	130
1565	129
1533	131
1457	128
1598	139
1696	150
1493	130
1412	125
1570	137
1522	129
1462	128
1493	128
