Kørt på commit-sha 1064154eb03aea158c1a590248251182e50f5dd6.

Parametre:layers: (256, 100, 50, 4)
layer_amount: 3
layer_sizes: (256, 100, 50)
dropout: 0.6
lr: 0.001
startbatch: 0
optimizer_info: Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
rewarder: HeuristicsReward: factor = 1,  weights = [3, 1, 1, 3], gamma = 0.95
nbatches: 500
batchsize: 50
determinism: [False, False]
hot_one: True

Gennemsnitsscore	Maxtile
1120	111
1128	109
991	99
1017	94
1019	103
1024	98
1045	103
1069	101
1083	110
1013	98
1110	107
1055	104
1025	96
1121	110
1021	99
1112	113
1188	119
1186	113
1033	101
1199	115
987	99
981	90
1150	109
1151	114
1066	98
1109	107
1097	107
1137	108
1038	101
1148	113
955	94
1136	107
1102	105
1299	129
1120	109
1012	97
971	94
1059	104
1161	111
1200	110
1151	105
1200	114
1203	117
1209	112
1106	108
1234	115
1146	104
1241	114
1191	114
1229	113
1452	134
1330	127
1401	125
1555	139
1557	140
1560	135
2047	169
2003	163
1882	151
2227	188
1958	160
2287	190
2524	215
2237	186
2417	199
2416	197
2567	213
1960	158
1834	165
2143	182
2009	168
1662	145
1853	167
1553	140
1431	120
1586	136
1501	133
1388	121
1539	140
1521	136
1361	123
1482	123
1612	145
1439	133
1449	128
1549	134
1446	122
1347	120
1402	120
1512	135
1471	138
1439	126
1614	149
1472	124
1501	136
1415	120
1477	133
1436	120
1370	123
1494	134
1618	142
1328	119
1356	122
1401	125
1514	137
1451	126
1371	125
1206	113
1468	129
1366	120
1526	137
1505	138
1491	131
1326	117
1425	128
1512	139
1449	129
1410	125
1184	103
1317	122
1357	121
1571	145
1346	124
1539	136
1418	128
1428	127
1492	136
1492	124
1414	131
1414	129
1681	154
1454	129
1511	138
1462	126
1428	133
1364	122
1368	130
1298	116
1495	138
1468	132
1352	119
1475	139
1481	138
1338	117
1555	137
1396	124
1344	119
1459	131
1500	133
1564	136
1517	131
1550	138
1292	122
1415	131
1416	135
1369	123
1505	133
1610	147
1647	142
1110	105
1525	139
1427	128
1546	142
1474	133
1578	150
1315	113
1457	126
1337	122
1667	145
1382	122
1606	143
1665	153
1419	126
1515	140
1740	168
1327	120
1371	129
1567	136
1443	128
1467	126
1464	137
1266	111
1493	140
1602	140
1443	130
1534	138
1302	111
1498	132
1578	146
1697	155
1461	135
1458	136
1273	115
1501	129
1530	139
1322	118
1587	147
1298	110
1469	138
1529	135
1452	130
1634	151
1403	121
1762	156
1484	136
1538	140
1610	145
1268	118
1510	136
1446	129
1369	125
1375	124
1459	129
1523	132
1597	143
1258	116
1483	133
1524	131
1409	127
1635	151
1681	152
1578	145
1660	149
1586	138
1533	140
1391	124
1522	135
1368	128
1460	135
1617	149
1499	139
1464	138
1557	145
1616	146
1471	133
1633	152
1595	137
1743	155
1532	132
1520	142
1592	136
1520	144
1440	126
1370	127
1604	133
1409	132
1674	151
1581	147
1540	142
1467	137
1665	145
1663	149
1457	125
1598	143
1674	150
1649	150
1616	145
1629	144
1471	138
1600	140
1571	140
1681	159
1587	142
1681	148
1491	138
1512	142
1749	151
1551	142
1498	133
1520	136
1544	136
1524	133
1742	157
1507	135
1879	167
1636	147
1703	155
1571	143
1576	136
1656	155
1649	149
1540	138
1579	147
1788	158
1628	151
1619	145
2002	190
1605	140
1531	145
1803	155
1546	143
1646	142
1724	160
1937	178
1451	132
1590	154
1337	120
1514	133
1702	149
1617	147
1407	122
1555	140
1709	145
1530	136
1547	139
1631	144
1466	134
1708	148
1594	136
1656	148
1594	148
1700	160
1629	151
1690	155
1574	149
1809	160
1687	155
1615	148
1782	166
1555	136
1541	136
1729	161
1840	166
1662	154
1627	149
1795	160
1616	145
1620	144
1328	124
1592	145
1526	140
1568	142
1880	174
1703	154
1656	147
1517	138
1639	143
1759	160
1679	154
1674	147
1647	146
1619	145
1672	154
1750	154
1709	165
1761	161
1467	136
1810	153
1858	167
1844	155
1722	157
1591	149
1752	160
1651	145
1516	142
1734	162
1569	140
1787	160
1678	152
1459	129
1758	159
1668	150
1553	137
1822	166
1649	156
1664	151
1674	154
1558	137
1933	176
1714	149
1732	149
1680	145
1466	127
1890	170
1519	144
1795	161
1732	157
1699	147
1637	148
1758	153
1753	157
1502	139
2044	178
1787	151
1779	160
2054	184
1721	150
1703	156
1687	145
1748	163
1914	170
1652	154
1903	170
1836	169
1684	144
1698	154
1842	168
1696	157
1931	172
1521	140
1837	165
1605	145
1994	180
1783	156
1657	149
1832	164
1893	172
2042	181
1652	154
1790	159
1827	167
1885	164
1602	150
1693	146
1812	154
1802	161
1742	157
1798	156
1734	158
1887	166
1813	170
1776	155
1961	179
1817	166
1876	163
1607	140
1792	165
1805	168
1712	157
1639	147
1606	145
1880	167
1839	158
1955	177
1647	150
1621	142
1630	145
1747	161
1838	163
1781	167
1838	167
1869	173
1713	157
1615	151
1774	156
1834	161
1523	140
1597	144
1543	139
1777	161
1682	155
1735	158
1750	161
1921	170
1804	161
1684	158
1720	154
1776	155
1959	174
1720	159
1673	148
1704	152
1624	144
1759	159
1718	151
1565	145
1675	150
1624	142
1843	162
1726	153
1613	145
1748	160
1572	147
1775	158
1603	142
1764	162
1514	136
1726	157
1727	149
1638	152
1451	132
1676	154
1817	163
1561	147
1717	152
1738	147
1849	170
1685	152
1544	136
1677	147
1700	159
1808	165
1610	144
1763	156
1994	179
1850	170
2032	180
1676	142
1796	160
1578	148
