Kørt på commit-sha 1064154eb03aea158c1a590248251182e50f5dd6.

Parametre:layers: (256, 100, 50, 4)
layer_amount: 3
layer_sizes: (256, 100, 50)
dropout: 0.6
lr: 0.001
startbatch: 0
optimizer_info: Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
rewarder: RewarderCombination, rewarders = ['ScoreChange: gamma = None', 'BoardVariance: corner = all, gamma = None', 'HeuristicsReward: factor = 1,  weights = [3, 1, 1, 3], gamma = None'], weights = (1, 1, 1), gamma = 0.95, product_weight False
nbatches: 500
batchsize: 50
determinism: [False, False]
hot_one: True

Gennemsnitsscore	Maxtile
1036	102
994	98
1090	107
1127	112
1010	103
964	91
1129	108
1118	109
1076	104
1093	108
1077	104
1105	105
1023	100
1193	115
1137	107
1174	118
1032	102
1153	112
1007	101
1053	104
1104	106
993	95
1048	104
1156	111
994	99
1066	110
1029	99
1116	104
1246	122
996	99
1197	117
1151	113
1126	109
1075	106
1140	111
1161	112
1081	108
1149	110
975	94
1101	104
1042	98
886	89
1130	108
946	90
1108	112
1080	108
1152	108
1094	108
1142	119
1113	103
1008	99
1031	99
1063	101
1184	110
1021	101
1067	104
1246	119
1045	101
1136	112
1159	105
1289	128
1071	101
1203	120
1281	119
1099	103
1203	117
1069	103
1197	117
1244	116
1111	103
1273	114
1417	128
1357	129
1369	123
1526	135
1518	135
1480	126
1824	158
1758	148
1882	160
1861	149
2308	193
2175	178
2093	175
2149	171
2493	192
2600	225
2499	209
2349	195
2497	207
2137	179
2095	175
2146	183
2428	198
2503	206
2492	214
2301	194
2168	176
2079	172
2189	178
2181	188
2226	183
2188	174
2209	176
2337	184
2171	183
2451	199
2286	193
2397	202
2053	183
2178	170
2275	185
2289	192
2342	185
2668	216
2551	215
2302	183
2556	209
2136	176
2234	183
2566	209
2322	185
2394	202
2244	187
2111	176
2533	209
2110	175
2368	196
2107	177
2176	186
2249	188
2377	197
2087	174
2146	180
2066	167
2189	183
1983	160
2369	206
2498	208
2023	177
2266	197
2529	200
2553	211
2357	197
2293	180
2162	188
2310	190
2454	198
2176	178
2400	202
2176	178
2273	191
2651	220
1881	155
2212	181
2167	174
2156	179
2240	183
2261	183
1966	168
2203	180
2504	201
2226	175
2101	169
2250	185
2290	185
2355	197
2290	194
2130	176
2378	208
1948	165
2027	174
2196	185
2041	174
2136	168
2252	193
2580	202
2151	181
2358	202
2240	181
2539	199
2507	206
2195	183
2112	172
2205	186
2296	195
2262	195
2099	171
2391	204
1993	162
2273	185
2279	191
2314	195
2117	174
2601	217
2440	195
2120	175
2497	204
2102	178
1891	158
2295	186
2240	185
2086	163
2208	183
2260	187
2334	196
2187	179
1970	170
2115	174
2100	178
2059	169
2374	188
1946	161
2476	204
2352	200
2440	201
2191	189
2171	185
2222	184
2154	175
2211	190
2208	183
1968	160
2137	172
2024	162
2140	177
2112	179
2182	176
2260	192
2244	185
2186	191
2092	177
2336	194
2231	186
1916	159
2262	187
2343	193
1938	158
2214	175
2288	190
2119	172
2271	194
2454	194
2290	175
2387	202
2141	177
2087	173
1922	158
1930	156
2247	193
2389	206
2090	175
2109	171
2156	181
2180	175
2304	192
2274	182
2040	166
2354	197
2363	194
2003	161
2094	165
2010	161
2247	202
2009	173
2389	200
2107	177
2426	207
2111	183
2314	193
2297	197
2330	193
2020	170
2407	202
2206	186
2111	182
2160	174
2258	180
1815	147
2130	174
1957	164
2043	165
2244	193
2242	192
2207	194
2272	198
2363	211
2222	183
2141	183
2259	184
2126	177
2357	185
2100	171
2212	177
2264	192
1866	142
2200	179
2008	174
2082	175
2182	185
2121	183
2360	208
2209	181
1947	161
1996	167
2290	198
2313	193
2462	202
2156	190
2133	174
2180	177
2217	190
2108	182
2185	179
2389	206
2214	178
2453	198
2070	167
2211	188
2177	183
1991	161
2313	200
2201	190
2232	192
2219	179
2395	200
2402	213
1894	154
2349	198
2030	171
1961	160
2025	176
2065	175
1945	166
1997	165
