Kørt på commit-sha 1064154eb03aea158c1a590248251182e50f5dd6.

Parametre:layers: (256, 100, 50, 4)
layer_amount: 3
layer_sizes: (256, 100, 50)
dropout: 0.6
lr: 0.001
startbatch: 0
optimizer_info: Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)
rewarder: ScoreChange: gamma = 0.95
nbatches: 500
batchsize: 50
determinism: (True, True)
hot_one: True

Gennemsnitsscore	Maxtile
1345	134
1152	106
1324	128
1206	113
1388	135
1088	101
1102	104
1306	125
1346	129
1136	108
1208	113
1246	116
1337	127
1270	119
1146	110
1284	120
1149	112
1230	115
1258	112
1344	128
1149	106
1277	122
1326	118
1305	115
1322	117
1433	118
1571	135
1431	126
1448	127
1634	143
1713	150
1581	136
1767	149
1551	135
1696	145
1663	139
1538	125
1583	133
1628	136
1615	138
1693	134
1568	133
1691	143
1715	147
1811	163
1694	142
1472	124
1784	153
1634	129
1655	147
1579	136
1657	143
1507	128
1608	132
1946	168
1524	130
1745	149
1667	136
1715	145
1570	131
1593	140
1495	124
1554	126
1474	129
1638	139
1590	139
1618	133
1575	136
1567	132
1443	126
1586	135
1528	126
1855	157
1439	122
1533	126
1507	132
1832	154
1459	129
1573	143
1508	126
1540	131
1469	128
1642	149
1603	142
1602	133
1590	135
1432	122
1539	130
1741	143
1685	148
1396	122
1685	153
1635	137
1487	124
1691	141
1600	135
1441	120
1574	135
1409	122
1785	160
1428	123
1558	136
1446	122
1452	128
1276	110
1359	116
1552	135
1543	137
1327	116
1456	125
1395	122
1326	115
1367	124
1346	122
1330	124
1468	124
1490	130
1297	118
1277	106
1300	117
1322	114
1380	126
1434	122
1475	131
1354	114
1327	119
1481	130
1298	115
1274	110
1265	111
1149	99
1339	122
1199	109
1337	112
1288	113
1263	111
1497	130
1447	128
1332	116
1259	107
1231	106
1335	117
1339	117
1386	121
1333	113
1416	131
1311	114
1294	107
1304	117
1464	135
1388	126
1412	128
1468	134
1476	131
1313	126
1214	109
1145	96
1289	116
1248	107
1563	142
1403	131
1457	128
1234	116
1580	147
1241	108
1337	117
1344	118
1275	118
1176	103
1507	137
1267	121
1415	125
1328	123
1304	114
1420	124
1312	112
1400	118
1270	116
1393	123
1220	104
1259	114
1109	96
1388	123
1269	118
1295	117
1225	110
1371	120
1292	113
1230	109
1313	118
1314	117
1490	133
1277	111
1347	119
1270	113
1122	97
1449	116
1376	122
1378	128
1453	130
1420	124
1379	126
1330	119
1412	117
1471	131
1416	126
1387	129
1575	145
1436	124
1251	106
1257	110
1367	124
1282	110
1405	126
1363	125
1293	113
1267	110
1264	108
1343	120
1345	115
1246	111
1266	114
1378	124
1392	122
1289	113
1318	117
1332	124
1410	124
1209	111
1319	127
1387	126
1323	114
1291	115
1454	128
1149	101
1455	131
1232	107
1406	125
1276	110
1277	116
1306	119
1453	124
1305	113
1334	122
1309	121
1485	128
1424	128
1305	112
1406	127
1518	136
1290	114
1396	123
1449	128
1433	129
1437	128
1430	123
1249	109
1408	126
1430	128
1174	99
1382	126
1360	126
1424	124
1227	116
1259	103
1395	132
1191	111
1436	122
1456	125
1407	124
1324	112
1305	112
1267	113
1386	122
1314	113
1438	126
1317	121
1493	130
1334	122
1356	121
1331	122
1406	122
1398	121
1416	121
1367	125
1392	123
1270	114
1309	117
1387	130
1367	120
1151	101
1410	124
1269	112
1365	127
1274	116
1271	110
1324	118
1431	126
1329	120
1388	121
1454	137
1343	120
1225	105
1492	135
1359	118
1264	112
1368	119
1281	110
1257	115
1422	128
1295	115
1193	101
1450	128
1415	126
1155	102
1437	127
1386	122
1280	113
1382	116
1320	117
1390	126
1412	132
1395	122
1360	126
1143	101
1386	122
1504	135
1221	107
1356	124
1288	113
1225	110
1366	122
1313	110
1371	127
1404	124
1299	119
1402	120
1366	116
1316	120
1297	113
1401	120
1316	116
1244	109
1397	122
1260	117
1324	119
1331	119
1285	119
1400	122
1412	129
1341	119
1333	120
1445	131
1192	110
1576	137
1232	111
1372	122
1412	128
1398	131
1526	135
1297	121
1345	124
1385	124
1382	128
1338	119
1180	104
1460	128
1248	117
1470	129
1269	113
1482	130
1369	124
1421	123
1471	131
1318	115
1399	122
1346	121
1382	128
1369	125
1369	119
1342	123
1245	110
1328	120
1432	128
1503	128
1300	107
1210	108
1181	108
1338	124
1263	109
1410	126
1320	111
1343	120
1381	124
1326	123
1367	119
1423	126
1150	100
1454	133
1230	108
1159	100
1288	115
1342	118
1393	126
1193	104
1211	103
1340	115
1323	123
1358	121
1420	129
1279	116
1311	109
1265	112
1320	118
1576	143
1474	130
1123	103
1393	129
1278	114
1280	117
1441	129
1353	120
1406	123
1268	110
1370	112
1329	116
1435	128
1296	113
1421	123
1430	126
1280	113
1400	128
1356	120
1465	136
1419	124
1404	122
1340	120
1456	131
1166	106
1565	145
1200	103
1314	118
1313	116
1458	130
1270	113
1577	141
1464	124
1426	126
1405	127
1370	121
1453	131
1363	121
1414	128
1375	121
1329	124
1286	108
1486	134
1335	122
1302	115
1494	136
1264	109
1491	133
1358	122
1138	96
1461	128
1454	128
1303	115
1243	110
1344	117
1298	119
1467	139
1301	118
1351	124
1379	124
1309	120
1561	138
1461	131
1257	115
1328	117
1377	119
1392	122
1355	118
1383	126
1333	127
1454	129
1367	126
1375	117
1419	125
1300	117
1291	117
1315	119
1331	120
1510	141
1383	120
1449	124
1407	128
1459	126
1429	124
1362	117
1154	102
