Kørt på commit-sha 6ee8fb215385633ae5e432dbff1fe006e64df56e.

Parametre:layers: (256, 16, 4)
layer_amount: 2
layer_sizes: (256, 16)
dropout: 0.6
lr: 0.001
startbatch: 0
optimizer_info: SGD (
Parameter Group 0
    dampening: 0
    lr: 0.001
    momentum: 0
    nesterov: False
    weight_decay: 0
)
rewarder: HeuristicsReward: factor = 1,  weights = [3, 1, 1, 3], gamma = 0.95
nbatches: 500
batchsize: 50
determinism: [False, False]
hot_one: True

Gennemsnitsscore	Maxtile
1141	112
1091	108
1057	108
1024	92
1047	101
1118	108
1166	112
1151	111
1002	102
1187	116
1162	115
1201	119
1141	107
986	98
1108	106
1082	104
987	99
1069	105
1122	110
1081	106
996	104
1052	102
1057	104
1022	104
1049	104
1087	106
1049	107
1090	106
933	91
1095	110
1001	94
978	97
1074	104
1246	125
1033	101
1056	106
1015	99
1043	107
1131	110
966	95
1191	115
978	94
1087	110
1006	98
1020	101
1175	112
1104	105
1105	103
1126	106
1106	105
1137	116
1058	105
1026	97
1063	103
974	95
1026	104
1101	106
1065	104
988	99
1094	103
1065	101
1094	107
1045	103
1065	101
1091	108
1112	113
1180	118
1088	107
1313	136
1167	118
1087	110
1076	106
1062	105
1089	110
1013	99
942	91
1075	104
1223	119
1065	103
1018	99
1124	112
1165	112
1145	115
1027	95
1058	104
1205	117
1187	112
1091	109
1072	102
1083	106
989	96
1165	110
1171	115
1113	106
1103	108
1140	111
1266	121
1065	103
1112	101
1186	118
1071	108
960	92
1163	113
1034	104
1091	106
924	90
1022	100
1058	107
1001	99
968	93
1107	108
1144	110
1093	104
1193	124
972	96
979	94
982	93
1036	101
1053	106
1080	106
1062	100
1285	127
1180	109
1076	104
1139	113
1044	100
1054	104
1131	117
998	98
1127	106
1175	120
1071	103
1103	108
1112	106
1173	121
1081	108
1172	110
1158	109
966	94
981	96
1177	113
1270	122
1128	108
1098	109
1033	103
1054	104
1175	112
1048	103
1140	111
1171	117
1041	101
977	94
1066	108
1096	109
970	95
1046	96
1071	110
1038	96
1124	113
983	91
1065	102
1010	95
1280	129
1085	102
1028	103
1097	103
1125	112
1149	113
1061	104
1102	105
996	100
995	99
1081	101
1044	103
1141	109
1057	104
1072	106
1046	107
1053	102
1288	124
1126	113
996	99
970	98
1084	102
994	100
1112	113
1132	106
1060	99
1085	110
1109	110
1003	92
931	93
1032	101
1070	102
1062	103
1182	112
1227	124
1125	109
1157	106
1064	105
1143	109
912	85
1064	105
1034	100
1140	113
1156	113
1271	122
1228	119
1074	107
1179	118
1067	108
1100	106
1141	112
1026	97
1234	119
1061	101
981	93
1150	115
998	96
1208	119
1085	106
1105	101
1113	109
1113	105
1082	101
1010	94
1120	111
1211	124
1227	121
1181	117
945	88
1020	97
1038	98
1160	120
1017	100
1131	111
1215	123
1121	112
1000	95
1109	114
1060	103
1119	107
1149	115
1059	108
1025	103
1135	109
1135	113
1142	110
1111	107
1111	108
1153	112
1113	110
1074	107
1051	102
1229	115
1118	106
944	95
1189	121
1023	99
1258	120
1149	107
1011	98
1066	103
1027	102
1305	129
1113	113
1022	104
1181	115
832	81
1091	108
1140	112
1114	105
964	99
1064	101
1068	99
1036	101
1130	109
1229	126
1081	105
1143	112
1108	106
1132	112
1109	112
1140	111
1165	114
1006	98
1156	108
1121	108
1102	109
1074	101
1032	103
1170	115
1156	116
964	95
1121	107
1081	105
1096	104
1068	104
1194	117
1123	115
1091	104
1066	107
1107	104
1165	110
1024	103
1080	108
1129	108
1076	103
1081	104
1045	107
1247	120
1046	99
1181	110
1032	100
1120	106
1076	103
1123	108
1104	111
942	93
1148	113
1033	98
1087	109
1109	109
1169	112
1047	96
1084	104
1218	118
1079	103
1035	102
1013	98
1121	114
1055	103
1093	112
1029	102
1134	108
1117	105
1084	103
1083	108
952	91
1031	99
864	80
1002	95
1104	109
1068	108
1116	110
1119	104
1080	104
1107	102
1046	100
1131	110
1040	100
1017	97
1233	119
1050	104
1078	105
1122	111
1158	111
982	94
1079	108
1166	114
1042	100
1178	108
1102	105
1193	111
1018	104
1123	110
978	99
1103	108
1018	99
1106	106
1086	104
1104	105
981	93
920	88
948	91
1119	108
1099	108
1132	112
1040	99
1163	110
1041	101
1175	116
1214	115
1029	97
1065	103
1167	119
1161	108
1111	103
1113	107
1224	120
922	91
1159	110
1111	106
982	97
1139	110
1142	108
1140	105
1170	116
1110	106
1106	104
890	89
934	91
1134	107
1144	111
1132	109
1106	104
1132	107
1087	110
1033	103
1042	99
1013	101
1049	100
1099	107
993	96
1122	104
1044	103
934	93
1090	103
1189	117
1124	110
1039	102
1136	114
1140	112
1164	110
1111	106
1159	112
1178	115
1075	104
1128	111
1068	105
1244	117
1252	120
1096	105
1125	104
1088	102
1017	97
1050	104
1004	90
1036	100
1109	102
1157	114
1065	95
1225	116
1201	115
1009	97
1074	109
952	90
1183	116
1103	106
1051	101
987	94
1015	100
1153	120
1123	113
1140	105
1041	100
1060	103
1210	113
1005	97
1166	111
1207	110
1028	98
1094	106
1070	103
937	87
1159	117
1189	115
1069	106
1206	108
1171	112
1051	104
1100	110
1026	98
1093	107
1160	109
1083	100
1192	110
1070	106
1171	113
1065	97
1010	96
1234	118
1203	115
1025	99
1048	106
1049	98
1045	103
1136	108
1036	95
1182	119
1045	104
1142	109
1105	108
1065	100
1145	108
1086	98
1066	104
1094	101
1045	101
1025	100
