Kørt på commit-sha ad9d5b28dfaea1ba9dbd7ef772847f0c94971217.

Parametre:layers: (256, 100, 50, 4)
layer_amount: 3
layer_sizes: (256, 100, 50)
dropout: 0.6
lr: 0.001
startbatch: 0
optimizer_info: SGD (
Parameter Group 0
    dampening: 0
    lr: 0.001
    momentum: 0
    nesterov: False
    weight_decay: 0
)
rewarder: HeuristicsReward: factor = 1,  weights = [3, 1, 1, 3], gamma = 0.95
nbatches: 500
batchsize: 50
determinism: [False, False]
hot_one: True

Gennemsnitsscore	Maxtile
1178	120
1105	109
1056	105
1144	111
1057	107
1053	104
1123	112
1092	108
959	95
1073	104
1131	114
1048	104
1205	117
1037	103
1114	111
1152	119
1015	97
1129	117
1038	103
1116	107
1097	106
1119	111
1132	107
1059	107
1059	103
1050	107
1094	106
1029	101
1036	99
1234	122
1013	101
1174	112
1019	100
1137	114
1089	108
1156	110
1127	105
1024	98
1064	102
1066	106
974	94
1219	120
1138	115
1049	105
1023	101
1005	97
1096	111
1114	110
1195	113
1125	114
1044	101
978	98
1054	105
1209	112
1129	106
949	90
1104	110
1136	109
1153	106
1233	122
1061	104
1044	99
1199	120
1068	103
1193	115
1092	108
1131	112
1202	118
1053	103
1133	110
1198	111
1120	110
1134	112
1157	114
1184	110
1207	115
1246	122
1144	112
1130	111
1042	101
1107	111
1137	112
1006	99
984	93
1185	119
1099	106
1088	106
1031	100
959	91
1098	112
1067	102
978	100
1114	103
1128	108
1274	123
1104	104
1054	107
1133	113
980	101
1033	96
1277	121
1123	111
1187	120
1158	115
1127	112
1307	127
1037	99
1036	100
1050	102
1062	99
1235	125
1126	107
1053	106
1072	103
1267	123
1065	102
1118	116
1008	101
1157	117
1141	117
1080	106
1146	112
1052	106
1207	119
1101	106
1168	113
969	97
1122	107
1010	96
1107	107
1127	107
1052	99
1072	99
1202	115
931	89
1109	110
1186	112
1165	119
930	91
1143	113
1011	100
1080	106
1186	113
1049	99
1009	99
1203	118
1086	108
1094	106
1080	109
1166	117
1183	117
1012	99
1109	104
1130	112
1071	104
1218	115
1199	121
1102	107
1037	107
1192	117
1159	112
1126	114
1056	102
1035	101
1165	113
1045	98
1133	110
1077	101
1143	118
950	94
1034	103
1108	106
965	94
1025	99
1246	124
1011	100
1227	117
1068	106
1131	112
1081	107
1108	108
1116	108
1133	111
1214	119
1113	109
1045	101
1028	101
1147	111
1057	100
982	92
1059	101
1159	108
1174	111
1191	109
1071	99
1110	108
1114	106
998	95
1048	100
1120	106
1221	120
1034	98
1120	112
1193	112
1161	110
1010	96
1247	117
1220	115
1125	108
1155	113
1153	114
1204	115
1044	99
1121	108
1205	113
1165	104
1288	124
1110	112
1175	113
1225	113
1226	116
1240	123
1155	112
1142	110
1117	106
1299	119
1096	104
1070	99
1224	111
1228	120
1239	119
1173	110
1184	110
1170	106
1202	114
1262	119
1276	117
1138	105
1263	113
1143	110
1103	101
1186	114
1203	113
1325	121
1226	110
1227	110
1380	130
1236	112
1359	126
1358	128
1282	119
1241	117
1525	140
1155	106
1368	128
1202	111
1379	129
1448	133
1299	121
1138	104
1728	152
1251	115
1465	138
1301	121
1541	140
1522	133
1437	129
1546	132
1549	135
1414	121
1580	132
1494	130
1584	140
1566	139
1667	145
1598	136
1452	127
1644	140
1540	128
1757	145
1599	141
1991	164
1556	133
1838	163
1960	170
1696	142
1695	151
2035	181
1666	136
1893	165
1780	149
1871	161
1951	161
1830	161
2058	167
2306	192
1801	145
1785	149
1952	163
1987	176
2269	192
1891	153
2090	179
2068	174
1822	152
1874	152
1965	158
2129	180
2392	208
1829	152
2159	181
2118	176
2080	175
2266	174
2021	172
2261	175
2224	184
2044	171
2105	174
2101	184
2451	198
2030	165
2132	171
2391	212
2244	190
2032	163
2287	190
2390	197
2049	162
2223	188
1973	163
2264	188
2200	186
2008	157
2143	168
2172	179
2349	186
2161	173
2555	206
2420	192
2317	177
2450	202
2362	190
2047	154
2103	177
2491	203
2186	184
2270	190
2592	211
1960	162
2450	190
2241	181
2197	162
2620	207
2349	202
2457	199
2304	182
2209	179
1817	151
2638	225
2297	188
2215	175
2284	179
2233	181
2433	203
2923	235
2344	186
2342	183
2235	181
2391	193
2359	194
2278	188
2484	205
2050	172
2094	174
2588	206
2552	204
2619	221
2340	188
2593	208
2222	180
2316	202
2445	193
2146	180
2238	189
2412	206
2358	195
2332	187
2369	188
2313	196
1971	157
2335	193
2492	205
2470	206
2311	181
2712	224
2160	179
2380	201
2296	173
2478	212
2655	216
2325	183
2053	161
2591	213
2275	185
2496	200
2473	203
2592	224
2551	218
2412	195
2460	202
2520	213
2481	197
2292	183
2420	211
1953	163
2469	204
2586	221
2250	177
2583	208
2050	176
2209	195
2332	184
2284	192
2558	209
2442	198
2461	201
2425	204
2406	203
2074	170
2279	190
2382	200
2370	198
2264	197
2306	208
2551	222
2417	208
2207	177
2214	188
2162	175
2144	179
2292	195
2309	194
2066	179
2161	183
2009	170
2022	170
2091	176
1999	172
2215	194
2024	166
2092	168
2312	195
2104	169
2305	197
1828	163
2392	207
2023	176
1856	163
1979	168
2171	188
2064	176
2101	179
2309	195
2145	186
1904	158
2062	171
1955	169
2297	197
2145	185
2085	181
1958	170
2073	178
1845	151
2145	177
2025	169
2000	173
1981	170
2160	184
1924	165
2265	192
1806	153
1998	163
1880	162
2003	174
2085	179
2074	180
2106	174
1890	163
1886	168
1634	140
2021	182
1969	179
1994	167
1751	149
1977	181
1941	176
1904	168
1878	168
2010	181
