Kørt på commit-sha 6f49ddccaaa1c589538f53ac255adf7f74a9808b.

Parametre:layers: (256, 16, 4)
layer_amount: 2
layer_sizes: (256, 16)
dropout: 0.6
lr: 0.001
startbatch: 0
optimizer_info: SGD (
Parameter Group 0
    dampening: 0
    lr: 0.001
    momentum: 0
    nesterov: False
    weight_decay: 0
)
rewarder: HeuristicsReward: factor = 1,  weights = [3, 1, 1, 3], gamma = 0.95
nbatches: 500
batchsize: 50
determinism: [False, False]
hot_one: True

Gennemsnitsscore	Maxtile
1029	101
1087	110
1211	117
1064	109
1058	104
1027	100
1197	118
972	94
980	94
1114	108
1151	115
1168	117
1156	110
1042	104
1143	110
1079	103
1132	110
1005	95
1106	107
1094	106
994	98
1072	107
1172	112
1150	117
1109	112
1112	104
1150	106
1158	112
1102	110
1030	101
1156	115
1111	106
1141	114
1163	115
1145	112
1084	104
1053	106
1097	102
1234	120
1030	97
1164	108
1236	126
959	92
1171	112
1221	114
1092	107
992	99
960	95
1125	109
1132	112
1034	103
1063	104
1074	98
1092	106
1096	107
1093	106
1052	104
1068	108
1193	119
1029	101
1136	110
1213	115
1182	112
1162	113
1231	124
1174	111
1132	110
1107	109
1096	104
1139	108
1104	112
1107	108
1053	104
1048	99
1156	113
1076	105
1125	110
1120	110
1038	101
1198	117
1147	115
1063	101
1166	114
1298	129
1160	112
1040	101
984	97
1185	115
1097	110
1114	103
1130	110
1102	104
1017	102
1067	104
1089	106
989	96
1014	96
1202	118
1042	103
1080	108
1211	118
1271	124
1117	104
1162	113
1269	122
1087	107
1154	112
1163	110
1096	107
1185	113
1083	106
978	92
1003	97
1131	112
1173	108
1048	101
1039	106
1064	103
1309	129
1137	114
1124	114
1069	106
1051	103
1047	104
961	93
1019	101
1154	112
1221	119
1119	110
1099	109
1066	111
1142	112
1028	99
1237	129
1041	101
1162	117
1190	116
1096	106
1074	108
1104	110
1043	101
962	94
1065	101
1024	97
1062	101
1060	104
1092	107
1156	112
1100	107
1063	99
1078	104
1098	109
1100	109
1004	101
1102	106
1093	103
1123	109
940	88
1116	106
1178	112
1064	103
1147	117
1023	97
1148	112
1055	103
1238	118
1032	97
1080	106
1175	114
918	93
1064	104
983	96
1218	121
1141	116
1070	104
1152	114
1192	117
1071	105
1074	105
1157	110
1115	110
1287	129
1235	115
1043	99
1050	101
1011	97
1149	115
992	95
1157	109
1278	124
1209	118
1085	102
1186	116
1231	117
1124	108
1075	104
1276	129
1070	104
1019	101
1104	107
1185	117
1040	97
1160	111
1075	104
952	90
1101	108
1146	112
1189	118
1230	122
1043	96
941	91
1186	115
978	97
978	96
1047	98
1254	121
1069	99
1188	117
1125	115
1045	100
974	91
933	95
1209	121
1006	99
1104	110
1051	103
1124	109
1156	110
1120	108
1236	121
1052	106
1154	110
1103	110
1253	119
1183	117
1008	99
1015	98
1084	103
1110	108
908	88
1050	103
1242	119
999	97
1067	111
1047	99
1073	107
1107	104
1004	98
1132	113
1106	104
971	91
1050	101
1085	106
1083	103
1029	102
1016	98
1113	108
1058	105
1011	94
1042	107
964	92
1040	97
1112	103
1077	104
1036	105
1077	107
1022	105
1124	108
1221	111
1182	117
1078	103
982	96
1198	117
1174	117
1129	112
1011	100
1046	99
1073	104
968	96
1068	106
1008	97
1001	96
1106	110
1076	102
1012	96
1056	99
1133	110
1154	111
1081	101
1101	104
1149	110
1145	113
1127	110
1081	108
1085	105
860	85
1088	105
1126	117
1230	124
1078	103
1143	113
1069	104
1053	105
1160	115
1000	96
1067	102
1072	106
1200	120
1208	119
1097	108
1152	114
1117	108
1184	112
1158	110
1004	96
1117	106
1239	122
1074	106
1092	110
963	91
1102	104
1166	112
1096	106
1032	97
1082	105
989	93
972	101
1087	106
1082	101
1113	109
1111	111
1010	99
1072	106
1172	115
1212	119
1045	98
1150	117
1046	106
1123	110
1028	103
1134	109
1089	103
1066	104
1200	116
1162	112
1162	111
1222	119
1074	105
995	96
1074	104
1162	117
1097	109
994	97
977	96
1023	102
1152	113
1035	95
1122	106
1230	122
1075	111
946	96
1102	103
1016	97
1156	113
1146	112
1044	97
1090	109
1013	101
996	97
1197	120
1192	117
1084	109
1086	108
1189	115
1152	112
1109	109
1100	107
1110	106
1143	111
1163	114
1118	113
1145	108
1088	109
1196	116
1066	108
992	100
1155	109
1161	108
1133	109
1148	112
1090	104
1091	107
1067	105
1126	111
1143	113
1150	108
1259	121
991	98
1023	100
1325	129
1132	108
1145	118
1027	102
1034	102
1241	126
1057	101
1046	100
1031	101
1076	106
1006	99
970	99
1101	107
1018	103
1088	107
1096	105
1235	120
1057	105
1086	109
1156	114
1111	105
1018	99
1135	105
1143	111
1144	108
1105	102
1011	99
1084	103
1089	107
1274	129
1168	113
1231	121
1151	113
956	96
1101	110
1119	107
1042	103
1014	99
1081	106
1086	108
1083	103
1043	103
1029	102
987	99
1140	113
1103	108
1149	106
1084	104
1241	121
1360	138
1078	104
1087	107
1105	105
1102	108
1299	125
898	86
1020	98
1187	112
1092	104
1033	99
1145	112
1102	106
1139	107
1108	112
1091	106
1018	97
1022	103
1116	112
1130	109
1120	108
1149	112
1204	119
1060	101
1049	101
1023	97
1243	123
1280	131
1157	113
1131	111
1048	99
1193	118
1036	101
1110	108
1209	125
1047	96
1187	112
991	94
1074	104
1182	117
1007	101
1153	113
1106	108
1030	99
998	99
1206	119
1039	101
1171	110
984	97
1031	101
1125	108
1076	104
