Kørt på commit-sha 6f49ddccaaa1c589538f53ac255adf7f74a9808b.

Parametre:layers: (256, 16, 4)
layer_amount: 2
layer_sizes: (256, 16)
dropout: 0.6
lr: 0.001
startbatch: 0
optimizer_info: SGD (
Parameter Group 0
    dampening: 0
    lr: 0.001
    momentum: 0
    nesterov: False
    weight_decay: 0
)
rewarder: RewarderCombination, rewarders = ['ScoreChange: gamma = None', 'BoardVariance: corner = all, gamma = None', 'HeuristicsReward: factor = 1,  weights = [3, 1, 1, 3], gamma = None'], weights = [1, 1, 1], gamma = 0.95, product_weight False
nbatches: 500
batchsize: 50
determinism: [False, False]
hot_one: True

Gennemsnitsscore	Maxtile
1054	104
1300	125
1122	113
1017	103
1072	105
1122	110
1015	96
908	83
1090	106
1074	107
1042	99
986	94
940	93
1037	102
1197	116
1182	115
1238	121
1122	112
1032	99
1187	115
1004	94
1052	103
901	89
1022	104
1095	107
1027	101
1037	101
1120	107
1071	103
1050	105
953	96
1162	113
977	92
995	95
988	96
946	94
955	90
1128	112
1260	120
1201	118
1163	113
992	96
1010	98
1105	112
1077	103
1147	112
1118	105
1189	119
1025	103
1074	104
1136	108
1013	92
1180	117
1287	122
1141	110
1079	110
1215	117
1117	108
1077	104
1122	114
1156	113
1015	97
1170	115
1062	103
1185	115
1068	105
950	92
1183	114
1042	102
1020	99
1096	110
1200	115
1119	110
1174	109
1091	109
1215	113
1167	115
1072	106
944	95
1165	116
1091	108
1119	111
1218	121
1156	115
1045	103
1011	99
1132	113
1193	122
1155	112
1000	96
1164	113
1203	120
1006	97
1081	105
1262	122
1048	109
1157	114
1334	126
1124	103
1121	112
1100	106
1156	107
1043	99
1114	106
1186	114
938	94
1172	122
1128	115
1036	101
1178	113
1148	115
1205	119
1105	110
1089	106
1019	102
1095	106
1150	108
999	97
1156	115
1148	113
1144	113
1144	110
1064	103
943	92
989	97
1212	115
1294	125
1060	105
1036	99
1083	106
1149	113
891	92
1037	101
1169	111
1191	112
1121	112
1191	111
1070	108
1083	108
