Kørt på commit-sha 6f49ddccaaa1c589538f53ac255adf7f74a9808b.

Parametre:layers: (256, 100, 50, 4)
layer_amount: 3
layer_sizes: (256, 100, 50)
dropout: 0.6
lr: 0.001
startbatch: 0
optimizer_info: SGD (
Parameter Group 0
    dampening: 0
    lr: 0.001
    momentum: 0
    nesterov: False
    weight_decay: 0
)
rewarder: RewarderCombination, rewarders = ['ScoreChange: gamma = None', 'BoardVariance: corner = all, gamma = None', 'HeuristicsReward: factor = 1,  weights = [3, 1, 1, 3], gamma = None'], weights = [1, 1, 1], gamma = 0.95, product_weight False
nbatches: 500
batchsize: 50
determinism: [False, False]
hot_one: True

Gennemsnitsscore	Maxtile
1003	97
1104	116
1141	106
1102	115
1112	109
1074	103
1042	100
1153	117
1057	99
1085	108
1109	107
1038	106
1114	108
1042	102
1101	109
1165	115
1040	106
1080	104
1318	133
1190	112
1075	101
870	86
1136	110
1129	110
963	92
1010	96
1068	103
1043	102
1144	112
1150	112
1042	101
1111	112
1085	108
1040	99
1156	116
1093	111
1110	106
1259	126
1060	105
1093	110
1048	99
1074	106
1010	101
1020	94
1171	114
1013	98
1311	126
1146	110
1128	113
1045	104
1055	103
1074	100
1190	117
1122	107
1142	107
948	97
1037	99
1122	112
1105	106
1166	110
1068	106
1014	100
1100	108
1102	103
1199	118
1111	105
1106	106
1193	116
1125	109
1079	107
1133	106
1281	126
1147	110
1022	100
1067	108
1121	104
1066	101
1022	98
1048	101
1144	114
1084	106
1053	101
1088	106
1109	111
1077	103
1104	108
1085	104
1097	110
1108	113
1099	110
1062	103
1088	115
1122	113
1161	107
1064	102
1165	115
1228	114
1239	123
1119	110
1065	103
1160	118
1121	112
1085	104
979	96
1119	111
966	89
1098	108
1038	100
966	92
1105	104
1183	119
1104	105
1110	110
1124	111
1171	113
1046	104
1156	112
1115	108
1102	111
1046	102
1026	99
1119	110
1052	103
1050	100
1060	103
1055	103
1270	122
1042	99
1078	102
986	97
1134	108
1078	106
1127	111
1057	101
1076	106
1069	110
1007	101
1083	106
1108	104
1233	124
1091	113
1195	115
1256	122
1151	110
1150	111
1271	124
1133	108
1155	113
1096	106
1167	113
1159	111
953	96
1018	98
955	88
1210	114
1057	103
1119	105
1083	108
1025	99
1097	104
1143	112
996	97
997	95
1087	110
917	89
996	96
1073	108
1148	116
1201	115
1090	106
1227	116
1198	119
1156	111
1077	109
1102	104
1137	113
1164	112
1170	115
1034	104
1121	113
1108	106
1092	106
976	94
1149	111
1038	100
1133	118
998	101
1118	110
1160	112
1126	110
1155	113
1137	112
1137	116
1029	106
1001	94
1279	120
1100	104
1108	104
1062	103
1119	111
975	92
1051	103
1030	103
1029	98
1021	99
1022	102
1024	97
1220	113
1178	114
1209	120
911	88
1204	119
1282	129
1099	106
1046	100
1039	101
1170	111
1018	96
1081	108
995	97
1048	102
1128	112
1169	112
1262	121
1172	112
1030	101
1038	98
1079	105
1044	100
1058	99
1181	121
1173	113
1144	115
1121	106
1069	108
1017	99
1128	114
1081	105
1118	108
1083	109
1027	101
1072	104
1115	107
996	98
998	96
1133	109
1031	102
989	96
1159	114
1061	106
1096	103
1093	107
1109	108
1116	109
1318	126
1087	102
1197	115
988	98
1112	106
1155	109
1086	108
1084	110
1024	99
1090	108
941	93
1209	113
1132	110
1000	99
1066	104
1115	115
1125	109
1222	115
1173	115
1155	109
1184	117
1098	104
1070	101
1196	120
973	90
1039	98
1079	107
1165	117
1119	109
1069	103
1331	129
1121	106
1122	114
1094	106
1253	120
1236	118
1222	120
1087	101
1086	103
1163	109
1111	106
1172	112
1220	113
1176	115
1073	104
1132	108
1013	97
1251	117
1117	110
1111	106
1271	120
1234	117
1222	115
1227	115
1305	121
1223	116
990	94
1094	110
1328	129
1332	125
1212	116
1449	133
1114	106
1260	120
1153	109
1159	109
1242	117
1172	109
1277	117
1301	117
1176	111
1336	128
1341	127
1128	108
1290	117
1328	116
1115	106
1328	119
1294	115
1190	115
1389	124
1218	119
1333	119
1406	129
1275	113
1198	109
1472	135
1535	145
1419	131
1441	127
1399	131
1395	129
1410	130
1368	122
1480	130
1703	149
1510	136
1375	129
1369	124
1709	160
1569	142
1393	123
1415	126
1605	149
1622	144
1474	127
1601	145
1570	138
1540	144
1758	147
1645	145
1580	138
1854	168
1608	137
1763	152
1882	167
1751	152
1917	162
1675	145
1717	150
1669	141
1914	164
2007	172
1914	172
1564	131
1997	165
1710	135
2163	192
2020	170
2004	167
1950	165
1983	175
1978	149
2097	174
1941	155
1818	155
1982	167
2075	175
2162	181
1952	159
2130	176
2181	188
1708	141
1997	165
2259	193
1927	159
2127	172
2193	186
2054	170
2133	181
1968	165
2094	174
2146	186
2450	201
2097	174
2271	192
2313	199
2081	174
2141	176
2275	195
2158	174
2323	199
2012	165
2134	177
2389	197
2577	203
2350	199
1925	166
1936	172
2236	184
2023	169
2279	193
2035	180
2270	193
2183	181
2231	183
2160	179
2023	168
2179	172
2195	183
2448	199
1972	157
2076	163
2210	175
2330	190
2248	187
2221	176
2577	213
2015	162
2368	190
1978	163
2180	176
2543	213
2155	178
1972	161
2112	163
2186	181
2026	168
1916	160
2212	189
2307	186
2152	173
2244	181
2552	218
2294	193
2217	192
2057	163
2234	186
2207	188
2153	179
2083	165
2717	232
2036	172
2315	184
2150	182
2319	195
2177	182
2167	192
2053	176
1857	152
2196	181
1986	167
2274	184
2138	185
2198	180
2279	193
2247	199
2077	173
1962	166
1929	154
2140	174
2208	186
2203	188
2348	192
2295	197
2022	162
2286	199
2247	192
1936	161
2342	192
2221	177
1888	153
2076	183
2442	197
2357	193
2101	166
